URL del canal,Título del canal,Etiqueta
http://www.youtube.com/channel/UC-y4X3Q2vePyCMRcYKEnSIw,Aventura entre amigos 🦜,
http://www.youtube.com/channel/UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,
http://www.youtube.com/channel/UC4Obh9UQ2r6FyeoIEPF-bBA,Pablo Lomeli,
http://www.youtube.com/channel/UC6qAcFKomiik0Ub80jtWcYg,mayra León,
http://www.youtube.com/channel/UC7QoKU6bj1QbXQuNIjan82Q,Programación ATS,
http://www.youtube.com/channel/UC9X2FS_R4D9TWpvYCWVUIvg,Manualidades Miss Dorita,
http://www.youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,Yuya,deportes
http://www.youtube.com/channel/UCBuQCyzSc9BL1qXRY69AqCQ,Ask Me For A Balloon,
http://www.youtube.com/channel/UCCS1Hpwzdjvy2Gl3oQ6zXUg,Kelvin Siso,
http://www.youtube.com/channel/UCDC16sjbIUmFwmEt2A5AbyA,DoctorBlog,Salud
http://www.youtube.com/channel/UCI5jg0SvvcH1on3Ewg-Y1Zg,Liacam _,
http://www.youtube.com/channel/UCIhL-df6MfkYvrPVvt_7ElQ,DekorArte en Foamy,
http://www.youtube.com/channel/UCJeFffabVXHZDQxz7Wqqg-g,LizSews,
http://www.youtube.com/channel/UCKBc0q93W5B0IYWSGGmn_xA,Foamy Sweet Dolls,
http://www.youtube.com/channel/UCNXzXithFbRpdd9NBafBoCQ,Artesanías Impactarte,
http://www.youtube.com/channel/UCOoqvyaHSH0_eBpP7pFj9qg,Dacosta'sBakery,
http://www.youtube.com/channel/UCQNUVxWdF2aRboREOayPcZA,Ricardo Abrego,
http://www.youtube.com/channel/UCSvaaQGkoOmISS54UCITg4w,La Granja del Borrego,
http://www.youtube.com/channel/UCVyXM6AhkDGG_YfCcszcF_A,Ela Orsini,
http://www.youtube.com/channel/UCYOa_fJNrxi1FN0hrrH__uw,Juliana Postres,
http://www.youtube.com/channel/UCalhXu3roUGjIfN43WB08Uw,Евгения Ваш,
http://www.youtube.com/channel/UCcWNV5ymDpqpF78L3jN47fQ,Yovana,
http://www.youtube.com/channel/UCcy3q9zgxdBu7HcFpa2bKVA,Anyela Castillo,
http://www.youtube.com/channel/UCdSgT4-J2XSi658rUgG6nNg,ExpertoAnimal,
http://www.youtube.com/channel/UCf4iMeUCDs0NFkJI03aJSbQ,Musicoterapia ,
http://www.youtube.com/channel/UClKk9MgVh7Hs71NLuWym0PA,Leonardo Favio,
http://www.youtube.com/channel/UCrI4cmTb__nnuYAxxz6IGRQ,Cornspiration,
http://www.youtube.com/channel/UCvzk_MwdXD6jQa4Se-6B9ZQ,Adrià Solà Pastor,
http://www.youtube.com/channel/UCxd6ifFZycyUB45d2t9VPQw,TheMermaidscales,
...,Auronplay,Salud
assssssssssssssssssssssssss,PEPEEEEE,Salud
