ID del canal,URL del canal,Título del canal
UC-WACy_3dAtvjwMVgy48UbQ,http://www.youtube.com/channel/UC-WACy_3dAtvjwMVgy48UbQ,Quiero Cupcakes
UC-y4X3Q2vePyCMRcYKEnSIw,http://www.youtube.com/channel/UC-y4X3Q2vePyCMRcYKEnSIw,Aventura entre amigos 🦜
UC4FHiPgS1KXkUMx3dxBUtPg,http://www.youtube.com/channel/UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo
UC4Obh9UQ2r6FyeoIEPF-bBA,http://www.youtube.com/channel/UC4Obh9UQ2r6FyeoIEPF-bBA,Pablo Lomeli
UC6qAcFKomiik0Ub80jtWcYg,http://www.youtube.com/channel/UC6qAcFKomiik0Ub80jtWcYg,mayra León
UC7QoKU6bj1QbXQuNIjan82Q,http://www.youtube.com/channel/UC7QoKU6bj1QbXQuNIjan82Q,Programación ATS
UC9X2FS_R4D9TWpvYCWVUIvg,http://www.youtube.com/channel/UC9X2FS_R4D9TWpvYCWVUIvg,Manualidades Miss Dorita
UCBNs31xysxpAGMheg8OrngA,http://www.youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,Yuya
UCBuQCyzSc9BL1qXRY69AqCQ,http://www.youtube.com/channel/UCBuQCyzSc9BL1qXRY69AqCQ,Ask Me For A Balloon
UCCS1Hpwzdjvy2Gl3oQ6zXUg,http://www.youtube.com/channel/UCCS1Hpwzdjvy2Gl3oQ6zXUg,Kelvin Siso
UCDC16sjbIUmFwmEt2A5AbyA,http://www.youtube.com/channel/UCDC16sjbIUmFwmEt2A5AbyA,DoctorBlog
UCI5jg0SvvcH1on3Ewg-Y1Zg,http://www.youtube.com/channel/UCI5jg0SvvcH1on3Ewg-Y1Zg,Liacam _
UCIhL-df6MfkYvrPVvt_7ElQ,http://www.youtube.com/channel/UCIhL-df6MfkYvrPVvt_7ElQ,DekorArte en Foamy
UCJeFffabVXHZDQxz7Wqqg-g,http://www.youtube.com/channel/UCJeFffabVXHZDQxz7Wqqg-g,LizSews
UCKBc0q93W5B0IYWSGGmn_xA,http://www.youtube.com/channel/UCKBc0q93W5B0IYWSGGmn_xA,Foamy Sweet Dolls
UCNXzXithFbRpdd9NBafBoCQ,http://www.youtube.com/channel/UCNXzXithFbRpdd9NBafBoCQ,Artesanías Impactarte
UCOoqvyaHSH0_eBpP7pFj9qg,http://www.youtube.com/channel/UCOoqvyaHSH0_eBpP7pFj9qg,Dacosta'sBakery
UCQNUVxWdF2aRboREOayPcZA,http://www.youtube.com/channel/UCQNUVxWdF2aRboREOayPcZA,Ricardo Abrego
UCSvaaQGkoOmISS54UCITg4w,http://www.youtube.com/channel/UCSvaaQGkoOmISS54UCITg4w,La Granja del Borrego
UCVyXM6AhkDGG_YfCcszcF_A,http://www.youtube.com/channel/UCVyXM6AhkDGG_YfCcszcF_A,Ela Orsini
UCYOa_fJNrxi1FN0hrrH__uw,http://www.youtube.com/channel/UCYOa_fJNrxi1FN0hrrH__uw,Juliana Postres
UCalhXu3roUGjIfN43WB08Uw,http://www.youtube.com/channel/UCalhXu3roUGjIfN43WB08Uw,Евгения Ваш
UCcWNV5ymDpqpF78L3jN47fQ,http://www.youtube.com/channel/UCcWNV5ymDpqpF78L3jN47fQ,Yovana
UCcy3q9zgxdBu7HcFpa2bKVA,http://www.youtube.com/channel/UCcy3q9zgxdBu7HcFpa2bKVA,Anyela Castillo
UCdSgT4-J2XSi658rUgG6nNg,http://www.youtube.com/channel/UCdSgT4-J2XSi658rUgG6nNg,ExpertoAnimal
UCf4iMeUCDs0NFkJI03aJSbQ,http://www.youtube.com/channel/UCf4iMeUCDs0NFkJI03aJSbQ,Musicoterapia 
UClKk9MgVh7Hs71NLuWym0PA,http://www.youtube.com/channel/UClKk9MgVh7Hs71NLuWym0PA,Leonardo Favio
UCrI4cmTb__nnuYAxxz6IGRQ,http://www.youtube.com/channel/UCrI4cmTb__nnuYAxxz6IGRQ,Cornspiration
UCvzk_MwdXD6jQa4Se-6B9ZQ,http://www.youtube.com/channel/UCvzk_MwdXD6jQa4Se-6B9ZQ,Adrià Solà Pastor
UCxd6ifFZycyUB45d2t9VPQw,http://www.youtube.com/channel/UCxd6ifFZycyUB45d2t9VPQw,TheMermaidscales

